Interval;FFTCPUH;FFTCPUN;Time;
0.114453;0.042304;0.043105;0.000419;
0.088562;0.044566;0.042461;0.115193;
0.089475;0.046502;0.042074;0.204303;
0.085183;0.039856;0.044468;0.295311;
0.085417;0.039763;0.044493;0.381414;
0.084253;0.039898;0.043294;0.472343;
0.084112;0.039960;0.043096;0.556689;
0.085961;0.042427;0.042865;0.640874;
0.083421;0.039785;0.042761;0.726868;
0.086053;0.042093;0.043352;0.810322;
0.084012;0.039808;0.043488;0.896407;
0.082198;0.039557;0.042013;0.980504;
0.081875;0.039180;0.042096;1.062755;
0.084147;0.039817;0.043508;1.144656;
0.082913;0.039936;0.042333;1.228871;
0.083329;0.039114;0.043616;1.311849;
0.083560;0.040890;0.042012;1.395342;
0.082816;0.040105;0.042193;1.478975;
0.081961;0.039500;0.041774;1.561880;
0.082234;0.039463;0.042238;1.643911;
0.083427;0.039720;0.043120;1.726200;
0.083536;0.040125;0.042892;1.809662;
0.083552;0.039398;0.043505;1.893224;
0.083952;0.040093;0.043132;1.976808;
0.082391;0.039580;0.042179;2.060789;
0.082262;0.039119;0.042536;2.143707;
0.085669;0.041854;0.043166;2.226271;
0.084628;0.041282;0.042686;2.312091;
=AVERAGE(A3:A29);=AVERAGE(B3:B29);=AVERAGE(C3:C29);AVERAGE;
=STDEV(A3:A29);=STDEV(B3:B29);=STDEV(C3:C29);STDEV;
